http://www.constellation.com	google	cpc	test1	br	pr	tx	atl	en						http://www.constellation.com?utm_source=google&utm_medium=cpc&utm_campaign=test1_br_pr_tx_atl_en&utm_content={ad_content}&utm_term={keyword}
http://www.constellation.com	facebook	paid social	test2	br	re	tx	dal	en	dynamic		comp			http://www.constellation.com?utm_source=facebook&utm_medium=paid+social&utm_campaign=test2_re_en&utm_content=dynamic_tx_dal&utm_term={{placement}}_comp
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		re	md		hs	static	1a	1p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_re_hs&utm_content=1a_md&utm_term=1p
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		re	md		hs	static	1b	1p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_re_hs&utm_content=1b_md&utm_term=1p
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		re	md		hs	static	2	1p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_re_hs&utm_content=2_md&utm_term=1p
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		pr	md		hs	static	1a	3p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_pr_hs&utm_content=1a_md&utm_term=3p
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		pr	md		hs	static	1b	3p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_pr_hs&utm_content=1b_md&utm_term=3p
https://www.constellationhome.com/md/promotion/water-heater-install/	dv360	display	waterheater_2023		pr	md		hs	static	2	3p			https://www.constellationhome.com/md/promotion/water-heater-install/?utm_source=dv360&utm_medium=display&utm_campaign=waterheater_2023_pr_hs&utm_content=2_md&utm_term=3p
https://www.nebraskagas.com/	dv360	display	ne-wy2023		pr	ne		en	static		3p			https://www.nebraskagas.com/?utm_source=dv360&utm_medium=display&utm_campaign=ne-wy2023_pr_en&utm_content=ne&utm_term=3p
https://www.nebraskagas.com/	dv360	display	ne-wy2023		re	ne		en	static		1p			https://www.nebraskagas.com/?utm_source=dv360&utm_medium=display&utm_campaign=ne-wy2023_re_en&utm_content=ne&utm_term=1p
